current_org_id,current_organization_name,legacy_org_id,legacy_organization_name,legacy_cohort,match_status,match_score,runner_up_score,sequence_score,token_jaccard,token_containment,merge_decision,review_required
ORG-A08-14,وزارة الخارجية,LEG-ORG-B4-033,وزارة الخارجية,4,EXACT_NORMALIZED,1.0,0.6452,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A08-15,جمعية رواء للتنمية الأسرية,LEG-ORG-B4-019,جمعية رواء للتنمية الأسرية,4,EXACT_NORMALIZED,1.0,0.7727,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
,,LEG-ORG-B1-001,جمعية بنيان للخدمات الاجتماعية,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-002,جمعية البرهان لخدمة السنة والقرآن,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-003,جمعية الصم وضعاف السمع وذويهم,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-004,جمعية أفق للاسكان التنموي,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-005,الجمعية الخيرية لتيسير الزواج ورعاية الأسرة,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-006,جمعية التنمية الأهلية بالحزام الذهبي,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-007,جمعية الجبيل الأهلية,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-008,جمعية تواصل للتنمية الأهلية بأحياء الجامعيين والنزهة وهجر والفردوس,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-009,جمعية المعمار,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-010,الجمعية التكاملية لذوي الإعاقة,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-011,الجمعية السعودية لاضطراب فرط الحركة (إشراق ),1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-012,جمعية دار السلام لإكرام الموتى,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-013,المؤسسة الخيرية لرعاية الأيتام - إخاء,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-014,جمعية المحترفون للبحث والإنقاذ,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-015,جمعية مكث النسائية للريادة الشبابية,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-016,جمعية وفاء للخدمات القانونية للمرأة,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-017,مؤسسة عبدالمنعم الراشد الإنسانية,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-018,جمعية واعد الشبابية,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-019,جمعية التنمية الأهلية بالصالحية,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-020,جمعية العناية بشؤون الموتى إحسان,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-021,جمعية التنمية الأهلية بالملاحة,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-022,جمعية سند للمسؤولية الاجتماعية بالأحساء,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-023,جمعية العمل التطوعي,1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B1-024,بيت الثقافة بالدمام (مشروع هيئة المكتبات),1,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-001,جمعية عروى الخيرية,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-002,جمعية مكافحة السمنة بمنطقة حائل,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-003,جمعية ابوة لرعاية الايتام بعنيزة,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-004,جمعية حوائج لحفظ النعمة,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-005,جمعية طب القدم والكاحل,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-006,جمعية البيضاء لدعوة والإرشاد وتوعية الجاليات,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-007,جمعية الزاد,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-008,جمعية رؤية التنموية الاهلية النسائية,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-009,جمعية المتقاعدين بمنطقة القصيم,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-010,الجمعية السعودية الخيرية للوقاية من السموم,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-011,أوقاف إثراء المعرفة,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-012,جمعية اكتشاف وتطوير المواهب (رائد),2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-013,جمعية كبار السن,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-014,الجمعية الخيرية لتحفيظ القرآن الكريم بمحافظة المذنب,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-015,الجمعية الخيرية لتحفيظ القران الكريم بمحافظة رماح,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-016,جمعية أجا النسائية الاهلية,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-017,جمعية التمور للخدمات الإنسانية,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-018,جمعية سدير الزراعية,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-019,جمعية سلال الغذائية,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-020,جمعية التنمية الأهلية بحرمة,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-021,جمعية العناية بالمكتبات الخاصة,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-022,تراحم الرياض,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-023,جمعية صناعة القدرات الشبابية,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-024,لجنة تراحم القصيم,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-025,جمعية وطن طموح,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-026,جمعية دعم التعليم تعلم,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-027,جمعية عضيد للخدمات التطوعية,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-028,جمعية النخب العلمية,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-029,جمعية ذو النون للرعاية الصحية المنزلية,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B2-030,جمعية أخلاقنا لتعزيز القيم,2,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B3-001,مؤسسة منارات الهدى الوقفية,3,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B3-009,جمعية نبتون للتاهيل الطبي,3,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B3-015,جمعية خبرات التعليمة,3,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B3-017,جمعية مرفأ للخدمات الاسرية,3,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B3-022,تحفيظ تبوك,3,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B3-026,جمعية حفظ النعمة,3,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
,,LEG-ORG-B4-025,جمعية اقرأ التعليمية,4,LEGACY_ONLY,,,,,,PRESERVE_AS_HISTORICAL,False
