source_record_id,canonical_org_id,canonical_org_name,cohort,source_side,source_org_id,name_as_written,normalized_name,source_files,source_rows,consultant_names,evaluator_names,roster_status,records_count
SRC-LEG-LEG-ORG-B3-027,ORG-A03-02,جمعية التنمية الإيجابية,3,legacy,LEG-ORG-B3-027,جمعية التنمية الإيجابية,جمعيهالتنميهالايجابيه,dashboard_bundle_1/الدفعة 3/بيانات الجهات3.xlsx | dashboard_bundle_1/الدفعة 3/المستشار-عزيـز التوخـي.xlsx,dashboard_bundle_1/الدفعة 3/بيانات الجهات3.xlsx | بيانات الجهات!28 || dashboard_bundle_1/الدفعة 3/المستشار-عزيـز التوخـي.xlsx | جمعية التنمية الإيجابية!2,عزيز التوخي,,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B3-028,ORG-A03-01,جمعية البر لقرى جنوب مكة,3,legacy,LEG-ORG-B3-028,جمعية البر لقرى جنوب مكة,جمعيهالبرلقريجنوبمكه,dashboard_bundle_1/الدفعة 3/بيانات الجهات3.xlsx | dashboard_bundle_1/الدفعة 3/المستشار-عزيـز التوخـي.xlsx,dashboard_bundle_1/الدفعة 3/بيانات الجهات3.xlsx | بيانات الجهات!29 || dashboard_bundle_1/الدفعة 3/المستشار-عزيـز التوخـي.xlsx | جمعية البر لقرى جنوب مكة!2,عزيز التوخي,,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B3-029,ORG-A03-05,جمعية خبير للمختبرات الطبية,3,legacy,LEG-ORG-B3-029,جمعية خبير للمختبرات الطبية,جمعيهخبيرللمختبراتالطبيه,dashboard_bundle_1/الدفعة 3/بيانات الجهات3.xlsx | dashboard_bundle_1/الدفعة 3/المستشار-عزيـز التوخـي.xlsx,dashboard_bundle_1/الدفعة 3/بيانات الجهات3.xlsx | بيانات الجهات!30 || dashboard_bundle_1/الدفعة 3/المستشار-عزيـز التوخـي.xlsx | جمعية خبير للمختبرات الطبية!2,عزيز التوخي,,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B4-001,ORG-A06-03,ديوان وزارة الداخلية,4,legacy,LEG-ORG-B4-001,ديوان وزارة الداخلية,ديوانوزارهالداخليه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-سعيد الغامدي.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!2 || dashboard_bundle_1/الدفعة 4/المستشار-سعيد الغامدي.xlsx | ديوان وزارة الداخلية!2,سعيد الغامدي,,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B4-002,ORG-A06-01,جمعية الخدمات الاجتماعية بنمران,4,legacy,LEG-ORG-B4-002,جمعية الخدمات الاجتماعية بنمران,جمعيهالخدماتالاجتماعيهبنمران,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-سعيد الغامدي.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!3 || dashboard_bundle_1/الدفعة 4/المستشار-سعيد الغامدي.xlsx | جمعية الخدمات الاجتماعية بنمران!2,سعيد الغامدي,,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B4-003,ORG-A06-06,جمعية وسم للتصلب المتعدد,4,legacy,LEG-ORG-B4-003,جمعية وسم للتصلب المتعدد,جمعيهوسمللتصلبالمتعدد,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-سعيد الغامدي.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!4 || dashboard_bundle_1/الدفعة 4/المستشار-سعيد الغامدي.xlsx | جمعية وسم للتصلب المتعدد!2,سعيد الغامدي,,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B4-004,ORG-A06-02,جمعية التنمية الأهلية بأحد المسارحة,4,legacy,LEG-ORG-B4-004,جمعية التنمية الأهلية بأحد المسارحة,جمعيهالتنميهالاهليهباحدالمسارحه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-سعيد الغامدي.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!5 || dashboard_bundle_1/الدفعة 4/المستشار-سعيد الغامدي.xlsx | جمعية التنمية الأهلية بأحد المس!2,سعيد الغامدي,,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B4-005,ORG-A06-05,جمعية ترميم للتنمية,4,legacy,LEG-ORG-B4-005,جمعية ترميم للتنمية,جمعيهترميمللتنميه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-سعيد الغامدي.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!6 || dashboard_bundle_1/الدفعة 4/المستشار-سعيد الغامدي.xlsx | جمعية ترميم للتنمية!2,سعيد الغامدي,,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B4-006,ORG-A06-04,جمعيه جمان التعليمية,4,legacy,LEG-ORG-B4-006,جمعية جمان التعليمية,جمعيهجمانالتعليميه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-سعيد الغامدي.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!7 || dashboard_bundle_1/الدفعة 4/المستشار-سعيد الغامدي.xlsx | جمعية جمان التعليمية!2,سعيد الغامدي,,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B4-007,ORG-A06-07,جمعية أصول للمحتوى الدعوي,4,legacy,LEG-ORG-B4-007,جمعية أصول للمحتوى الدعوي,جمعيهاصولللمحتويالدعوي,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-سعيد الغامدي.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!8 || dashboard_bundle_1/الدفعة 4/المستشار-سعيد الغامدي.xlsx | جمعية أصول للمحتوى الدعوي!2,سعيد الغامدي,,PRIMARY_ROSTER,0
