proposed_canonical_org_id,proposed_canonical_name,cohort,member_candidate_ids,member_names,has_legacy,has_lovable,legacy_count,lovable_count,match_status,match_reason,confidence,requires_human_review,blocking_issue
LEG-ORG-B1-019,جمعية التنمية الأهلية بالصالحية,1,LEG-ORG-B1-019,جمعية التنمية الأهلية بالصالحية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-020,جمعية العناية بشؤون الموتى إحسان,1,LEG-ORG-B1-020,جمعية العناية بشؤون الموتى إحسان,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-021,جمعية التنمية الأهلية بالملاحة,1,LEG-ORG-B1-021,جمعية التنمية الأهلية بالملاحة,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-022,جمعية سند للمسؤولية الاجتماعية بالأحساء,1,LEG-ORG-B1-022,جمعية سند للمسؤولية الاجتماعية بالأحساء,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-023,جمعية العمل التطوعي,1,LEG-ORG-B1-023,جمعية العمل التطوعي,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-024,بيت الثقافة بالدمام (مشروع هيئة المكتبات),1,LEG-ORG-B1-024,بيت الثقافة بالدمام (مشروع هيئة المكتبات),true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-001,جمعية عروى الخيرية,2,LEG-ORG-B2-001,جمعية عروى الخيرية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-002,جمعية مكافحة السمنة بمنطقة حائل,2,LEG-ORG-B2-002,جمعية مكافحة السمنة بمنطقة حائل,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-003,جمعية ابوة لرعاية الايتام بعنيزة,2,LEG-ORG-B2-003,جمعية ابوة لرعاية الايتام بعنيزة,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-004,جمعية حوائج لحفظ النعمة,2,LEG-ORG-B2-004,جمعية حوائج لحفظ النعمة,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-005,جمعية طب القدم والكاحل,2,LEG-ORG-B2-005,جمعية طب القدم والكاحل,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-006,جمعية البيضاء لدعوة والإرشاد وتوعية الجاليات,2,LEG-ORG-B2-006,جمعية البيضاء لدعوة والإرشاد وتوعية الجاليات,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-007,جمعية الزاد,2,LEG-ORG-B2-007,جمعية الزاد,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-008,جمعية رؤية التنموية الاهلية النسائية,2,LEG-ORG-B2-008,جمعية رؤية التنموية الاهلية النسائية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-009,جمعية المتقاعدين بمنطقة القصيم,2,LEG-ORG-B2-009,جمعية المتقاعدين بمنطقة القصيم,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-010,الجمعية السعودية الخيرية للوقاية من السموم,2,LEG-ORG-B2-010,الجمعية السعودية الخيرية للوقاية من السموم,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-011,أوقاف إثراء المعرفة,2,LEG-ORG-B2-011,أوقاف إثراء المعرفة,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-012,جمعية اكتشاف وتطوير المواهب (رائد),2,LEG-ORG-B2-012,جمعية اكتشاف وتطوير المواهب (رائد),true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-013,جمعية كبار السن,2,LEG-ORG-B2-013,جمعية كبار السن,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-014,الجمعية الخيرية لتحفيظ القرآن الكريم بمحافظة المذنب,2,LEG-ORG-B2-014,الجمعية الخيرية لتحفيظ القرآن الكريم بمحافظة المذنب,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-015,الجمعية الخيرية لتحفيظ القران الكريم بمحافظة رماح,2,LEG-ORG-B2-015,الجمعية الخيرية لتحفيظ القران الكريم بمحافظة رماح,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-016,جمعية أجا النسائية الاهلية,2,LEG-ORG-B2-016,جمعية أجا النسائية الاهلية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-017,جمعية التمور للخدمات الإنسانية,2,LEG-ORG-B2-017,جمعية التمور للخدمات الإنسانية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-018,جمعية سدير الزراعية,2,LEG-ORG-B2-018,جمعية سدير الزراعية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-019,جمعية سلال الغذائية,2,LEG-ORG-B2-019,جمعية سلال الغذائية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-020,جمعية التنمية الأهلية بحرمة,2,LEG-ORG-B2-020,جمعية التنمية الأهلية بحرمة,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-021,جمعية العناية بالمكتبات الخاصة,2,LEG-ORG-B2-021,جمعية العناية بالمكتبات الخاصة,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-022,تراحم الرياض,2,LEG-ORG-B2-022,تراحم الرياض,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-023,جمعية صناعة القدرات الشبابية,2,LEG-ORG-B2-023,جمعية صناعة القدرات الشبابية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-024,لجنة تراحم القصيم,2,LEG-ORG-B2-024,لجنة تراحم القصيم,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-025,جمعية وطن طموح,2,LEG-ORG-B2-025,جمعية وطن طموح,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-026,جمعية دعم التعليم تعلم,2,LEG-ORG-B2-026,جمعية دعم التعليم تعلم,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-027,جمعية عضيد للخدمات التطوعية,2,LEG-ORG-B2-027,جمعية عضيد للخدمات التطوعية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-028,جمعية النخب العلمية,2,LEG-ORG-B2-028,جمعية النخب العلمية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-029,جمعية ذو النون للرعاية الصحية المنزلية,2,LEG-ORG-B2-029,جمعية ذو النون للرعاية الصحية المنزلية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B2-030,جمعية أخلاقنا لتعزيز القيم,2,LEG-ORG-B2-030,جمعية أخلاقنا لتعزيز القيم,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B3-001,مؤسسة منارات الهدى الوقفية,3,LEG-ORG-B3-001,مؤسسة منارات الهدى الوقفية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B3-009,جمعية نبتون للتاهيل الطبي,3,LEG-ORG-B3-009,جمعية نبتون للتاهيل الطبي,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B3-015,جمعية خبرات التعليمة,3,LEG-ORG-B3-015,جمعية خبرات التعليمة,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B3-017,جمعية مرفأ للخدمات الاسرية,3,LEG-ORG-B3-017,جمعية مرفأ للخدمات الاسرية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B3-022,تحفيظ تبوك,3,LEG-ORG-B3-022,تحفيظ تبوك,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B3-026,جمعية حفظ النعمة,3,LEG-ORG-B3-026,جمعية حفظ النعمة,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B4-025,جمعية اقرأ التعليمية,4,LEG-ORG-B4-025,جمعية اقرأ التعليمية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
