participation_id,proposed_canonical_org_id,canonical_org_name,cohort,cohort_label,organization_name_as_written,normalized_name,source,source_record_ids,legacy_org_ids,lovable_org_ids,source_files,source_sheets,source_rows,consultant_names,evaluator_names,first_recorded_at,last_recorded_at,roster_status,model_family_count,model_version_count,latest_outputs_count,links_count,participation_evidence,cohort_confidence,possible_previous_participation,possible_next_participation,requires_review
PART-LEG-LEG-ORG-B1-024,LEG-ORG-B1-024,بيت الثقافة بالدمام (مشروع هيئة المكتبات),1,دفعة 1,بيت الثقافة بالدمام (مشروع هيئة المكتبات),بيتالثقافهبالدمام(مشروعهيئهالمكتبات),legacy,LEG-ORG-B1-024,LEG-ORG-B1-024,,dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!26,,,,,SUPPLEMENTAL_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-024,HIGH,,,false
PART-LEG-LEG-ORG-B2-001,LEG-ORG-B2-001,جمعية عروى الخيرية,2,دفعة 2,جمعية عروى الخيرية,جمعيهعرويالخيريه,legacy,LEG-ORG-B2-001,LEG-ORG-B2-001,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!2 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية عروى الخيرية!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية عروى الخيرية!2,عزيز التوخي,معلوي ال ناصر,,,PRIMARY_ROSTER,43,43,,47,legacy_org_id=LEG-ORG-B2-001,HIGH,,,false
PART-LEG-LEG-ORG-B2-002,LEG-ORG-B2-002,جمعية مكافحة السمنة بمنطقة حائل,2,دفعة 2,جمعية مكافحة السمنة بمنطقة حائل,جمعيهمكافحهالسمنهبمنطقهحائل,legacy,LEG-ORG-B2-002,LEG-ORG-B2-002,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!3 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية مكافحة السمنة!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية مكافحة السمنة بمنطقة حائل!2,عزيز التوخي,معلوي ال ناصر,,,PRIMARY_ROSTER,44,44,,47,legacy_org_id=LEG-ORG-B2-002,HIGH,,,false
PART-LEG-LEG-ORG-B2-003,LEG-ORG-B2-003,جمعية ابوة لرعاية الايتام بعنيزة,2,دفعة 2,جمعية ابوة لرعاية الايتام بعنيزة,جمعيهابوهلرعايهالايتامبعنيزه,legacy,LEG-ORG-B2-003,LEG-ORG-B2-003,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!4 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية ابوة لرعاية الايتام!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية ابوة لرعاية الايتام!2,عزيز التوخي,معلوي ال ناصر,,,PRIMARY_ROSTER,44,44,,47,legacy_org_id=LEG-ORG-B2-003,HIGH,,,false
PART-LEG-LEG-ORG-B2-004,LEG-ORG-B2-004,جمعية حوائج لحفظ النعمة,2,دفعة 2,جمعية حوائج لحفظ النعمة,جمعيهحوائجلحفظالنعمه,legacy,LEG-ORG-B2-004,LEG-ORG-B2-004,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!5 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية حوائج لحفظ النعمة!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية حوائج لحفظ النعمة!2,عزيز التوخي,معلوي ال ناصر,,,PRIMARY_ROSTER,45,45,,47,legacy_org_id=LEG-ORG-B2-004,HIGH,,,false
PART-LEG-LEG-ORG-B2-005,LEG-ORG-B2-005,جمعية طب القدم والكاحل,2,دفعة 2,جمعية طب القدم والكاحل,جمعيهطبالقدموالكاحل,legacy,LEG-ORG-B2-005,LEG-ORG-B2-005,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!6 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية طب القدم والكاحل!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية طب القدم والكاحل!2,عزيز التوخي,معلوي ال ناصر,,,PRIMARY_ROSTER,33,33,,47,legacy_org_id=LEG-ORG-B2-005,HIGH,,,false
PART-LEG-LEG-ORG-B2-006,LEG-ORG-B2-006,جمعية البيضاء لدعوة والإرشاد وتوعية الجاليات,2,دفعة 2,جمعية البيضاء لدعوة والإرشاد وتوعية الجاليات,جمعيهالبيضاءلدعوهوالارشادوتوعيهالجاليات,legacy,LEG-ORG-B2-006,LEG-ORG-B2-006,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!7 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية البيضاء!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية البيضاء!2,عزيز التوخي,معلوي ال ناصر,,,PRIMARY_ROSTER,42,42,,47,legacy_org_id=LEG-ORG-B2-006,HIGH,,,false
PART-LEG-LEG-ORG-B2-007,LEG-ORG-B2-007,جمعية الزاد,2,دفعة 2,جمعية الزاد,جمعيهالزاد,legacy,LEG-ORG-B2-007,LEG-ORG-B2-007,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!8 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية الزاد!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية الزاد!2,عزيز التوخي,معلوي ال ناصر,,,PRIMARY_ROSTER,44,44,,47,legacy_org_id=LEG-ORG-B2-007,HIGH,,,false
PART-LEG-LEG-ORG-B2-008,LEG-ORG-B2-008,جمعية رؤية التنموية الاهلية النسائية,2,دفعة 2,جمعية رؤية التنموية الاهلية النسائية,جمعيهرؤيهالتنمويهالاهليهالنسائيه,legacy,LEG-ORG-B2-008,LEG-ORG-B2-008,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!9 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية رؤية التنموية!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية رؤية التنموية الاهلية!2,عزيز التوخي,معلوي ال ناصر,,,PRIMARY_ROSTER,37,37,,47,legacy_org_id=LEG-ORG-B2-008,HIGH,,,false
PART-LEG-LEG-ORG-B2-009,LEG-ORG-B2-009,جمعية المتقاعدين بمنطقة القصيم,2,دفعة 2,جمعية المتقاعدين بمنطقة القصيم,جمعيهالمتقاعدينبمنطقهالقصيم,legacy,LEG-ORG-B2-009,LEG-ORG-B2-009,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-فهد النوفل.xlsx | dashboard_bundle_1/المحكم-أبرار جيلاني.xlsx,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!10 || dashboard_bundle_1/الدفعة 2/المستشار-فهد النوفل.xlsx | جمعية المتقاعدين بمنطقة القصيم!2 || dashboard_bundle_1/المحكم-أبرار جيلاني.xlsx | جمعية المتقاعدين بمنطقة القصيم!2,فهد النوفل,أبرار جيلاني,,,PRIMARY_ROSTER,46,46,,47,legacy_org_id=LEG-ORG-B2-009,HIGH,,,false
